UserID,UserName,Age,Gender,Email,Experience,Expertise,TeacherRating,CourseRating
U00001,wilsonjordan,15,Male,patricia27@hotmail.com,7,Cyber Security,3.83,3.7
U00002,angela22,29,Female,hallrandy@hotmail.com,4,Data Science,3.93,3.72
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,8,Web Dev,4.33,3.96
U00004,fthornton,23,Female,christensencatherine@outlook.com,5,Cyber Security,3.54,3.37
U00005,fostergeoffrey,21,Male,karenfuentes@yahoo.com,7,Data Science,4.86,4.7
U00006,jacksonjose,21,Male,wilsonnatalie@outlook.com,10,Web Dev,3.73,3.59
U00007,grodriguez,24,Male,lopezjoseph@gmail.com,3,Machine Learning,3.83,3.59
U00008,adkinsapril,33,Female,sanfordtaylor@gmail.com,7,Web Dev,4.28,4.19
U00009,heathercallahan,20,Female,chelseastephenson@outlook.com,8,Cyber Security,4.57,4.33
U00010,qlam,34,Female,brian31@outlook.com,5,Machine Learning,3.64,3.29
U00011,ashley16,15,Female,guzmanantonio@outlook.com,4,Data Science,3.98,3.97
U00012,mirandatimothy,15,Female,paula93@outlook.com,8,Machine Learning,4.95,4.95
U00013,cherrykathleen,33,Female,michelewatkins@outlook.com,8,Data Science,3.89,3.85
U00014,huertatimothy,30,Male,gabrielanderson@yahoo.com,3,Data Science,3.97,3.7
U00015,tbaker,27,Female,kelly33@yahoo.com,6,Web Dev,4.75,4.32
U00016,josephmullins,32,Male,amysparks@outlook.com,5,Web Dev,3.58,3.58
U00017,theresa55,24,Male,pachecojeremy@gmail.com,2,Web Dev,4.2,3.73
U00018,nicole97,24,Female,aprilharrell@hotmail.com,8,Cyber Security,4.07,4.02
U00019,rlawson,24,Female,kingjulia@gmail.com,6,Cyber Security,3.97,3.55
U00020,evansmichael,27,Female,eharris@hotmail.com,2,Web Dev,3.93,3.69
U00021,autumn63,15,Male,julieestrada@hotmail.com,5,Cyber Security,3.64,3.31
U00022,patriciaadkins,31,Male,thomas63@hotmail.com,1,Machine Learning,3.97,3.71
U00023,micheal78,32,Male,ashleymorris@yahoo.com,10,Machine Learning,3.56,3.32
U00024,steven43,18,Female,petersonlori@yahoo.com,6,Cyber Security,4.67,4.25
U00025,georgewhite,34,Male,jamesbradshaw@hotmail.com,9,Cyber Security,4.1,3.72
U00026,andrew02,19,Male,jason57@yahoo.com,1,Machine Learning,4.17,3.93
U00027,hunter32,31,Male,ronaldthomas@yahoo.com,10,Data Science,4.84,4.78
U00028,zgomez,30,Female,rwhitaker@outlook.com,3,Machine Learning,4.49,4.43
U00029,hartmanjon,30,Male,nicole88@gmail.com,7,Machine Learning,3.51,3.11
U00030,david76,34,Male,robert64@outlook.com,4,Cyber Security,4.91,4.65
U00031,lovedavid,30,Male,fbooth@yahoo.com,9,Machine Learning,3.86,3.62
U00032,veronica83,18,Male,andrea24@yahoo.com,3,Cyber Security,3.66,3.32
U00033,rodrigueznatalie,25,Male,linda50@gmail.com,5,Cyber Security,4.65,4.22
U00034,ilopez,32,Female,scottwatts@yahoo.com,3,Web Dev,4.25,3.94
U00035,chernandez,32,Male,bryangilbert@yahoo.com,7,Machine Learning,4.15,3.77
U00036,coxmichael,24,Female,leonardkimberly@hotmail.com,5,Data Science,3.87,3.49
U00037,lisabraun,31,Female,ericbrown@hotmail.com,9,Web Dev,4.32,4.14
U00038,williamselizabeth,35,Male,kpham@gmail.com,7,Cyber Security,3.91,3.77
U00039,blackdanielle,16,Female,michaelfrederick@yahoo.com,2,Cyber Security,4.85,4.45
U00040,briannamurphy,15,Male,ohobbs@gmail.com,4,Data Science,3.82,3.63
U00041,april65,19,Female,imccarthy@yahoo.com,9,Cyber Security,4.83,4.38
U00042,christopher62,32,Male,patrickterrance@outlook.com,2,Machine Learning,4.34,4.31
U00043,tommy21,31,Male,gordonhenry@hotmail.com,10,Web Dev,4.74,4.71
U00044,rileyapril,19,Male,wagnermichael@hotmail.com,9,Cyber Security,4.57,4.11
U00045,rodneystevens,23,Female,mitchellwilliam@yahoo.com,10,Cyber Security,4.55,4.23
U00046,usimpson,29,Female,hmarquez@hotmail.com,5,Data Science,3.99,3.8
U00047,westbrian,34,Male,lclark@outlook.com,2,Machine Learning,3.85,3.47
U00048,willie71,19,Male,zgarza@hotmail.com,4,Cyber Security,3.82,3.48
U00049,nclark,32,Male,thomaskenneth@gmail.com,7,Data Science,4.79,4.52
U00050,rewing,33,Male,syoung@gmail.com,8,Cyber Security,4.73,4.68
U00051,crystal12,32,Female,bonnie35@gmail.com,3,Data Science,4.16,3.75
U00052,daniel48,25,Female,tweber@gmail.com,1,Data Science,3.7,3.27
U00053,tara07,34,Female,bergertimothy@hotmail.com,4,Machine Learning,4.07,3.98
U00054,jessicaparker,22,Female,rosslindsey@hotmail.com,2,Cyber Security,4.43,4.0
U00055,hallandrea,31,Female,michelle73@gmail.com,8,Machine Learning,4.18,3.74
U00056,vcrawford,22,Female,markfinley@gmail.com,4,Data Science,4.67,4.4
U00057,thomasrobin,18,Male,cedwards@yahoo.com,2,Web Dev,5.0,4.67
U00058,egomez,30,Female,jimmymurphy@outlook.com,6,Cyber Security,3.79,3.6
U00059,elizabeth16,32,Male,andersonmadison@gmail.com,6,Web Dev,4.19,4.05
U00060,albert28,26,Male,stephanie43@yahoo.com,10,Cyber Security,4.15,3.79
U00061,vincent12,32,Female,yscott@outlook.com,4,Machine Learning,3.96,3.53
U00062,howenathaniel,28,Female,tbrown@yahoo.com,6,Machine Learning,3.8,3.47
U00063,lisawong,34,Female,denise33@outlook.com,2,Machine Learning,3.6,3.34
U00064,donnabarker,33,Female,gellis@yahoo.com,10,Machine Learning,4.83,4.75
U00065,michaelcurtis,29,Male,brownrobert@hotmail.com,2,Machine Learning,4.13,4.1
U00066,wwest,26,Female,gomezkatherine@gmail.com,10,Web Dev,4.25,4.03
U00067,jessica24,28,Female,gardnerjohnny@hotmail.com,4,Machine Learning,4.88,4.86
U00068,marshmichelle,32,Male,mcoleman@outlook.com,8,Data Science,4.66,4.38
U00069,gainesandrew,27,Female,woodashley@outlook.com,7,Data Science,3.7,3.51
U00070,mgonzales,25,Female,vwang@gmail.com,9,Web Dev,4.35,3.97
U00071,kevin94,30,Female,gonzalezchristine@hotmail.com,8,Cyber Security,4.16,4.01
U00072,hallanthony,17,Female,sharon51@hotmail.com,5,Data Science,4.7,4.4
U00073,katie83,16,Male,lydia56@gmail.com,2,Cyber Security,4.59,4.32
U00074,nunezapril,19,Male,hancocksteven@hotmail.com,5,Web Dev,4.54,4.54
U00075,hfarley,22,Male,torresshawn@hotmail.com,8,Cyber Security,4.01,3.97
U00076,justinwatkins,34,Male,amyanderson@hotmail.com,10,Cyber Security,4.71,4.56
U00077,shannon49,20,Male,shane75@yahoo.com,9,Cyber Security,3.58,3.14
U00078,ahouston,32,Female,ashleywalker@outlook.com,9,Cyber Security,3.74,3.67
U00079,aburke,28,Male,stoutdylan@outlook.com,1,Web Dev,4.0,3.64
U00080,mortonandrew,35,Female,cindycox@yahoo.com,9,Data Science,3.62,3.13
